Date,Laspeyres (Fixed),Fisher (Deflator)
01/01/1964, 12.2 , 11.8 
02/01/1964, 12.1 , 11.7 
03/01/1964, 12.0 , 11.6 
04/01/1964, 12.2 , 11.8 
05/01/1964, 12.3 , 12.0 
06/01/1964, 12.4 , 12.0 
07/01/1964, 12.4 , 12.0 
08/01/1964, 12.3 , 12.0 
09/01/1964, 12.3 , 11.9 
10/01/1964, 12.6 , 12.1 
11/01/1964, 12.7 , 12.3 
12/01/1964, 12.8 , 12.3 
01/01/1965, 12.7 , 12.3 
02/01/1965, 12.6 , 12.2 
03/01/1965, 12.6 , 12.1 
04/01/1965, 12.6 , 12.2 
05/01/1965, 12.6 , 12.3 
06/01/1965, 12.8 , 12.3 
07/01/1965, 12.6 , 12.3 
08/01/1965, 12.6 , 12.2 
09/01/1965, 12.6 , 12.2 
10/01/1965, 13.0 , 12.4 
11/01/1965, 13.2 , 12.8 
12/01/1965, 13.3 , 12.8 
01/01/1966, 13.0 , 12.6 
02/01/1966, 12.8 , 12.4 
03/01/1966, 12.8 , 12.4 
04/01/1966, 13.3 , 12.8 
05/01/1966, 13.6 , 13.2 
06/01/1966, 13.6 , 13.2 
07/01/1966, 13.4 , 13.0 
08/01/1966, 13.4 , 12.9 
09/01/1966, 13.3 , 12.8 
10/01/1966, 13.6 , 13.1 
11/01/1966, 13.7 , 13.2 
12/01/1966, 13.9 , 13.4 
01/01/1967, 13.7 , 13.2 
02/01/1967, 13.6 , 13.2 
03/01/1967, 13.6 , 13.2 
04/01/1967, 13.6 , 13.2 
05/01/1967, 13.7 , 13.2 
06/01/1967, 13.7 , 13.2 
07/01/1967, 13.7 , 13.3 
08/01/1967, 13.8 , 13.3 
09/01/1967, 13.9 , 13.4 
10/01/1967, 13.9 , 13.5 
11/01/1967, 14.1 , 13.6 
12/01/1967, 14.2 , 13.8 
01/01/1968, 14.3 , 13.8 
02/01/1968, 14.3 , 13.9 
03/01/1968, 14.3 , 13.9 
04/01/1968, 14.4 , 13.9 
05/01/1968, 14.5 , 14.0 
06/01/1968, 14.5 , 14.0 
07/01/1968, 14.3 , 13.9 
08/01/1968, 14.4 , 13.9 
09/01/1968, 14.5 , 14.0 
10/01/1968, 14.8 , 14.3 
11/01/1968, 15.1 , 14.6 
12/01/1968, 15.4 , 14.9 
01/01/1969, 15.2 , 14.7 
02/01/1969, 15.2 , 14.7 
03/01/1969, 15.4 , 14.9 
04/01/1969, 15.4 , 14.9 
05/01/1969, 15.6 , 15.0 
06/01/1969, 15.4 , 14.9 
07/01/1969, 15.5 , 15.0 
08/01/1969, 15.4 , 14.9 
09/01/1969, 15.4 , 14.9 
10/01/1969, 15.6 , 15.1 
11/01/1969, 15.7 , 15.2 
12/01/1969, 15.8 , 15.3 
01/01/1970, 15.6 , 15.1 
02/01/1970, 15.6 , 15.0 
03/01/1970, 15.7 , 15.2 
04/01/1970, 16.1 , 15.6 
05/01/1970, 16.3 , 15.8 
06/01/1970, 16.7 , 16.1 
07/01/1970, 16.0 , 15.5 
08/01/1970, 15.6 , 15.1 
09/01/1970, 15.5 , 15.0 
10/01/1970, 15.6 , 15.1 
11/01/1970, 15.8 , 15.3 
12/01/1970, 16.0 , 15.5 
01/01/1971, 15.9 , 15.4 
02/01/1971, 16.4 , 15.8 
03/01/1971, 16.5 , 15.9 
04/01/1971, 16.6 , 15.9 
05/01/1971, 16.6 , 16.0 
06/01/1971, 16.7 , 16.1 
07/01/1971, 16.7 , 16.2 
08/01/1971, 17.2 , 16.5 
09/01/1971, 17.1 , 16.5 
10/01/1971, 17.2 , 16.6 
11/01/1971, 17.3 , 16.7 
12/01/1971, 17.5 , 16.9 
01/01/1972, 17.6 , 16.9 
02/01/1972, 17.6 , 17.0 
03/01/1972, 17.6 , 17.1 
04/01/1972, 17.6 , 17.1 
05/01/1972, 17.6 , 17.1 
06/01/1972, 17.7 , 17.1 
07/01/1972, 17.9 , 17.3 
08/01/1972, 18.0 , 17.5 
09/01/1972, 18.2 , 17.5 
10/01/1972, 18.5 , 17.9 
11/01/1972, 18.7 , 18.0 
12/01/1972, 18.9 , 18.3 
01/01/1973, 18.9 , 18.3 
02/01/1973, 18.9 , 18.3 
03/01/1973, 19.1 , 18.3 
04/01/1973, 19.3 , 18.7 
05/01/1973, 19.5 , 18.7 
06/01/1973, 19.6 , 18.9 
07/01/1973, 19.9 , 19.2 
08/01/1973, 20.2 , 19.5 
09/01/1973, 20.4 , 19.7 
10/01/1973, 20.5 , 19.8 
11/01/1973, 20.6 , 19.9 
12/01/1973, 20.6 , 19.9 
01/01/1974, 20.8 , 20.0 
02/01/1974, 20.9 , 20.2 
03/01/1974, 21.4 , 20.7 
04/01/1974, 21.1 , 20.3 
05/01/1974, 21.3 , 20.5 
06/01/1974, 21.8 , 21.1 
07/01/1974, 22.0 , 21.2 
08/01/1974, 22.0 , 21.2 
09/01/1974, 22.1 , 21.3 
10/01/1974, 22.4 , 21.5 
11/01/1974, 22.6 , 21.9 
12/01/1974, 22.8 , 21.9 
01/01/1975, 23.1 , 22.3 
02/01/1975, 23.1 , 22.3 
03/01/1975, 23.1 , 22.3 
04/01/1975, 23.3 , 22.6 
05/01/1975, 23.7 , 22.9 
06/01/1975, 23.8 , 23.1 
