Stadium,School,Conference,Capacity,Opened
Falcon Stadium,Air Force,Mountain West,"52,237",1962
InfoCision Stadium,Akron,MAC,"30,000",2009
Bryant Denny Stadium,Alabama,SEC,"101,821",1929
Kidd Brewer Stadium,Appalachian State,Sun Belt,"24,150",1962
Arizona Stadium,Arizona,Pac 12,"56,037",1928
Sun Devil Stadium,Arizona State,Pac 12,"56,232",1958
Razorback Stadium,Arkansas,SEC,"72,000",1938
Centennial Bank Stadium,Arkansas State,Sun Belt,"30,964",2002
Michie Stadium,Army,Independent,"38,000",1924
Jordan Hare Stadium,Auburn,SEC,"87,451",1939
Scheumann Stadium,Ball State,MAC,"22,500",1967
McLane Stadium,Baylor,Big 12,"45,140",2014
Albertsons Stadium,Boise State,Mountain West,"37,000",1970
Alumni Stadium,Boston College,ACC,"44,500",1957
Doyt Perry Stadium,Bowling Green,MAC,"23,724",1966
UB Stadium,Buffalo,MAC,"29,013",1993
LaVell Edwards Stadium,BYU,Independent,"63,725",1965
Memorial Stadium,California,Pac 12,"62,717",1923
Bright House Networks Stadium,Central Florida,AAC,"45,323",2007
Kelly Shorts Stadium,Central Michigan,MAC,"30,255",1972
Nippert Stadium,Cincinnati,AAC,"40,000",1916
Memorial Stadium,Clemson,ACC,"81,500",1942
Brooks Stadium,Coastal Carolina,Sun Belt,"15,000",2003
Folsom Field,Colorado,Pac 12,"53,750",1924
Colorado State Stadium,Colorado State,Mountain West,"41,200",2017
Rentschler Field,Connecticut,AAC,"40,000",2003
Wallace Wade Stadium,Duke,ACC,"40,004",1929
Dowdy Ficklen Stadium,East Carolina,AAC,"50,000",1963
Rynearson Stadium,Eastern Michigan,MAC,"30,200",1969
Ben Hill Griffin Stadium,Florida,SEC,"88,548",1930
FAU Stadium,Florida Atlantic,CUSA,"30,000",2011
FIU Stadium,Florida International,CUSA,"23,500",1995
Doak Campbell Stadium,Florida State,ACC,"82,300",1950
Bulldog Stadium,Fresno State,Mountain West,"41,031",1980
Sanford Stadium,Georgia,SEC,"92,746",1929
Paulson Stadium,Georgia Southern,Sun Belt,"24,300",1984
Georgia State Stadium,Georgia State,Sun Belt,"23,000",1996
Bobby Dodd Stadium,Georgia Tech,ACC,"55,000",1913
Aloha Stadium,Hawaii,Mountain West,"50,000",1975
TDECU Stadium,Houston,AAC,"40,000",2014
Kibbie Dome,Idaho,Sun Belt,"16,000",1975
Memorial Stadium,Illinois,Big Ten,"60,670",1923
Memorial Stadium,Indiana,Big Ten,"52,959",1960
Kinnick Stadium,Iowa,Big Ten,"70,585",1929
Jack Trice Stadium,Iowa State,Big 12,"61,000",1975
Memorial Stadium,Kansas,Big 12,"50,071",1921
Bill Snyder Football Stadium,Kansas State,Big 12,"50,000",1968
Dix Stadium,Kent State,MAC,"25,319",1969
Kroger Field,Kentucky,SEC,"61,000",1973
Joe Aillet Stadium,Louisiana Tech,CUSA,"30,600",1968
Cajun Field,Louisiana-Lafayette,Sun Belt,"31,000",1971
Malone Stadium,Louisiana-Monroe,Sun Belt,"30,427",1978
Papa John’s Cardinal Stadium,Louisville,ACC,"55,000",1998
Tiger Stadium,LSU,SEC,"100,500",1924
Joan Edwards Stadium,Marshall,CUSA,"38,019",1991
Maryland Stadium,Maryland,Big Ten,"54,000",1950
Liberty Bowl,Memphis,AAC,"62,380",1965
Hard Rock Stadium,Miami,ACC,"65,236",1987
Yager Stadium,Miami-OH,MAC,"24,286",1983
Michigan Stadium,Michigan,Big Ten,"107,601",1927
Spartan Stadium,Michigan State,Big Ten,"75,005",1923
Floyd Stadium,Middle Tennessee,CUSA,"31,000",1933
TCF Bank Stadium,Minnesota,Big Ten,"50,805",2009
Vaught Hemingway Stadium,Mississippi,SEC,"58,580",1915
Davis Wade Stadium,Mississippi State,SEC,"64,038",1914
Faurot Field,Missouri,SEC,"71,004",1927
Memorial Stadium,Navy,AAC,"34,000",1959
Carter Finley Stadium,NC State,ACC,"57,583",1966
Memorial Stadium,Nebraska,Big Ten,"92,000",1923
MacKay Stadium,Nevada,Mountain West,"29,993",1966
Dreamstyle Stadium,New Mexico,Mountain West,"39,224",1960
Aggie Memorial Stadium,New Mexico State,Sun Belt,"30,343",1978
Kenan Stadium,North Carolina,ACC,"62,980",1927
Apogee Stadium,North Texas,CUSA,"30,850",2011
Huskie Stadium,Northern Illinois,MAC,"24,000",1965
Ryan Field,Northwestern,Big Ten,"47,130",1926
Notre Dame Stadium,Notre Dame,Independent,"77,622",1930
Peden Stadium,Ohio,MAC,"24,000",1929
Ohio Stadium,Ohio State,Big Ten,"104,944",1922
Memorial Stadium,Oklahoma,Big 12,"84,000",1925
Boone Pickens Stadium,Oklahoma State,Big 12,"60,218",1920
Foreman Field,Old Dominion,CUSA,"20,118",1936
Autzen Stadium,Oregon,Pac 12,"54,000",1967
Reser Stadium,Oregon State,Pac 12,"45,674",1953
Beaver Stadium,Penn State,Big Ten,"106,572",1960
Heinz Field,Pittsburgh,ACC,"65,500",2001
Ross Ade Stadium,Purdue,Big Ten,"62,500",1924
Rice Stadium,Rice,CUSA,"47,000",1950
High Point Solutions Stadium,Rutgers,Big Ten,"52,454",1994
